0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,23,24,25
180,0,110,184,153,152,78,0,0,0,0,0,0,71,194,53,57,182,79,154,51,0,191,0,0
180,276,163,140,260,242,0,231,0,0,203,55,0,71,0,53,70,182,79,60,52,0,191,0,0
180,0,96,184,134,242,0,0,0,0,97,55,76,0,0,53,0,47,8,90,88,0,191,0,0
180,0,96,184,134,58,0,0,0,0,97,55,76,0,0,53,0,47,38,90,88,0,191,0,0
0,0,121,60,99,120,0,0,0,0,0,39,0,71,194,53,0,0,152,23,97,0,191,0,0
0,0,121,60,99,120,0,0,0,188,0,39,0,71,194,53,0,0,152,23,97,0,191,0,0
180,0,195,172,146,242,0,0,0,0,97,0,0,71,0,53,0,182,79,109,97,0,191,0,0
0,0,28,140,57,50,0,0,0,0,97,0,0,196,194,53,57,0,113,23,102,0,191,0,0
180,0,44,240,276,3,0,0,79,0,38,0,76,173,0,53,0,47,122,185,102,0,191,0,0
180,0,185,140,57,91,0,0,109,0,97,55,0,196,194,53,0,0,13,101,102,0,191,0,0
0,0,99,126,134,28,0,0,79,0,0,39,0,0,0,53,0,182,113,235,102,0,191,0,0
180,276,104,90,263,120,0,0,79,0,0,55,76,173,194,50,0,0,50,55,102,178,191,0,0
180,0,136,172,160,58,0,0,208,188,38,39,0,71,0,53,57,47,243,185,53,255,191,56,0
180,0,201,240,20,91,108,120,167,188,203,183,76,196,194,53,119,182,79,13,56,0,191,57,0
180,0,52,90,99,58,108,120,167,0,0,183,76,71,194,24,198,28,177,240,102,0,191,57,0
180,0,45,172,0,242,108,120,208,188,164,55,206,71,0,53,119,103,271,267,102,255,191,62,0
180,0,1,172,267,167,108,120,253,188,38,183,76,0,120,53,119,103,263,244,102,178,0,64,0
0,276,170,240,37,167,108,120,167,188,164,183,141,173,194,53,119,103,209,208,86,178,191,64,0
0,0,50,43,96,3,108,0,109,0,245,39,76,71,0,53,0,60,72,154,20,0,0,75,0
0,0,112,140,41,242,244,120,233,188,38,183,76,71,155,36,119,60,227,230,91,0,0,75,0
0,0,61,111,134,91,0,0,208,0,164,55,0,71,155,42,0,182,212,185,56,178,0,75,0
0,0,140,211,185,167,108,0,167,188,97,55,76,0,120,42,119,103,122,185,88,0,0,80,0
0,0,65,111,194,3,108,120,208,0,97,55,0,71,0,12,57,103,122,48,71,0,0,86,0
180,0,25,140,146,50,108,0,79,0,38,55,76,196,155,29,198,60,122,170,102,0,191,86,0
0,0,82,240,20,22,217,223,167,0,38,55,0,71,0,21,119,60,235,66,102,0,0,95,0
0,276,146,153,237,183,108,120,79,0,97,55,141,0,0,53,198,182,38,90,60,178,0,95,0
0,276,76,111,42,206,108,120,109,0,203,0,141,71,120,20,57,182,13,9,63,178,0,95,0
0,0,11,3,275,164,108,120,167,0,164,55,76,196,194,53,119,60,159,71,71,178,0,95,0
